PWSSWGT,age,sex,education,marital_status,race,state_fips,metro_status,cbsa_code,labor_force_status_major,industry_major_recode,PRMJOCC1,hourly_earnings,use_laptop,use_desktop,use_tablet,use_smartphone,internet_at_home,internet_at_work,internet_at_school,internet_at_cafe,internet_while_traveling,HXINLICO,internet_elsewhere_home,internet_other_places,is_random_respondent,internet_usage_count,internet_user
11012736,38,2,40,1,1,35,1,10740,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
11463186,39,1,45,1,1,35,1,10740,1,10,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
15893432,54,1,37,6,1,35,1,10740,6,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,20,0,0
15379988,35,2,43,1,1,35,1,10740,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
12366730,39,1,39,1,1,35,1,10740,1,5,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
15865961,29,2,42,6,1,35,1,10740,1,4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
12485201,54,2,39,3,2,35,1,10740,1,13,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
19932009,31,1,39,6,2,35,1,10740,1,10,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
16041752,25,1,40,6,1,35,2,0,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18525927,27,1,42,6,1,35,1,29740,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
14956751,38,1,35,6,1,35,2,0,1,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
13375223,42,2,40,6,1,35,1,29740,1,10,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
19674294,53,2,36,6,3,35,2,0,7,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,7,1
26223768,37,2,40,6,3,35,2,0,7,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,7,1
31675260,26,1,39,6,3,35,2,0,7,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,7,1
10422134,46,2,40,4,3,35,2,0,4,10,5,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,1
17871742,28,2,40,6,3,35,2,0,1,11,10,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,1
15958047,39,1,43,1,1,35,2,0,2,8,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
18601089,36,2,39,1,1,35,2,0,1,8,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
21485374,39,2,44,1,6,35,1,29740,1,13,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
6979227,43,1,43,3,3,38,1,0,1,5,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
7116993,29,2,43,1,1,38,1,22020,7,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
5047817,34,1,43,1,1,38,1,22020,1,10,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
4685307,53,1,41,6,1,38,1,22020,1,5,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
4852009,30,1,39,6,1,38,2,0,2,6,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
4109938,51,1,41,1,1,38,2,0,1,3,7,-1,1,1,1,1,1,1,1,1,1,1,1,1,20,8,1
5323506,48,2,41,1,1,38,2,0,1,3,5,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,8,1
5023351,50,1,41,4,1,38,2,0,1,6,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
5017621,53,1,43,5,1,38,2,0,1,8,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
3436607,40,2,43,1,2,38,2,0,7,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
4755968,51,1,43,1,2,38,2,0,1,6,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
7278046,32,1,39,6,1,38,2,0,1,2,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
23387034,28,1,37,6,1,40,3,0,6,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0
24803397,29,1,39,1,1,40,3,0,1,4,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
21533700,26,2,39,1,1,40,3,0,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
23130594,38,1,39,2,1,40,1,46140,1,12,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
28971087,44,1,34,4,1,40,1,46140,1,11,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
